Barcode,Winning
1013809,False
1020982,False
1057936,False
1061588,False
1084543,True
1111931,False
1118090,False
1138750,False
1184028,False
1206293,False
1209894,False
1240460,False
1243976,False
1263460,True
1278606,True
1282404,True
1303578,False
1321094,False
1324496,False
1364000,True
1365317,True
1370575,False
1389051,True
1420090,False
1459691,False
1473032,False
1494984,True
1548328,False
1554960,False
1570871,False
1574482,False
1606455,True
1607124,False
1623249,False
1629600,False
1676215,False
1701330,False
1782620,True
1820056,False
1827097,False
1841699,True
1856257,False
1886905,False
1895232,False
1906424,True
1923230,False
1942223,False
1968966,False
1970394,False
1978396,False
2021303,False
2026163,True
2030678,True
2031523,False
2034854,True
2056966,False
2081350,False
2105728,False
2122568,True
2130623,True
2132766,False
2133527,False
2145581,False
2157670,False
2222600,False
2247782,False
2249607,True
2297889,False
2317940,False
2327474,False
2329676,False
2336667,True
2350649,False
2427487,True
2444525,False
2465759,False
2477706,True
2483789,False
2511916,True
2515815,False
2529846,False
2531741,False
2539369,False
2544532,False
2561036,False
2570003,False
2573532,False
2610159,False
2615974,False
2678124,False
2689747,False
2717239,False
2721591,False
2726203,False
2749666,False
2779324,False
2783142,False
2790913,True
2798863,True
2812190,False
2826750,True
2839823,False
2855358,False
2856794,False
2861128,False
2865912,False
2868584,False
2877983,False
2891869,False
2892755,False
2896087,False
2910814,True
2917504,True
2919071,True
2945842,False
2972033,True
2983956,False
3041637,False
3044871,False
3046927,False
3052425,False
3053442,True
3077448,False
3101307,False
3101816,True
3136827,False
3156597,False
3213232,False
3219477,True
3221163,True
3230525,False
3239329,True
3244863,False
3260669,False
3264893,False
3340817,False
3347893,False
3362382,False
3402426,True
3416906,False
3424875,True
3445426,False
3450554,False
3467547,False
3469391,False
3470735,True
3494234,True
3497600,False
3499683,False
3506338,False
3549976,True
3551653,True
3572674,True
3596779,False
3621813,False
3624841,False
3625783,True
3626885,False
3671102,False
3674597,False
3676850,False
3683440,False
3694133,True
3702640,True
3702739,False
3734584,True
3776881,False
3810009,False
3812063,False
3820690,False
3861978,False
3874457,True
3889486,False
3917395,False
3923563,True
3937953,False
3968526,False
3988692,False
4016231,True
4016290,True
4026173,False
4034433,False
4046354,True
4063078,False
4104797,False
4107559,False
4117158,False
4125922,True
4157913,False
4160326,False
4197718,True
4217958,False
4218796,False
4230676,False
4236369,False
4246705,False
4252596,False
4258265,True
4284167,False
4291068,False
4302313,True
4341372,False
4343068,False
4347426,False
4356693,False
4375377,False
4380524,False
4381076,True
4406808,True
4415746,True
4421311,False
4430001,False
4460339,True
4461098,False
4461455,True
4493439,False
4507861,False
4515989,True
4523026,False
4525080,False
4544626,False
4545628,False
4602627,False
4645156,False
4693020,False
4750871,False
4756252,True
4774694,True
4783205,False
4788695,False
4822537,False
4850297,False
4894812,False
4897846,False
4941936,False
4957179,False
4958978,False
4970944,False
5003634,False
5004882,True
5038984,False
5064229,False
5073297,False
5089482,False
5109742,False
5165237,False
5190046,False
5229959,False
5238166,True
5258061,False
5279934,False
5296733,False
5301943,False
5327610,False
5333302,True
5334298,False
5343071,False
5441598,False
5524633,True
5539750,True
5568676,False
5601587,False
5615173,False
5616469,True
5654974,False
5662227,True
5671424,False
5679583,True
5706332,False
5712557,False
5745133,False
5767532,True
5772106,False
5779941,False
5799515,False
5804777,False
5818623,False
5849268,False
5857219,False
5898202,False
5907559,True
5921083,False
5943639,False
5950366,True
5959678,False
5961847,False
5987608,False
6005474,False
6007125,True
6018425,False
6064242,False
6081115,False
6084884,False
6107523,False
6127320,True
6184523,False
6200766,False
6204898,True
6215347,False
6231708,True
6245760,False
6247408,False
6266959,True
6268866,False
6270326,True
6282918,False
6291259,False
6327070,False
6334853,False
6343094,True
6380399,True
6393646,False
6432426,True
6441630,False
6462130,False
6478797,True
6486416,True
6501066,False
6519440,True
6520909,False
6539747,False
6568697,False
6570092,False
6585111,False
6588411,False
6591419,True
6602130,False
6605428,False
6609327,True
6612804,False
6620042,False
6622859,True
6623634,False
6633977,False
6688606,True
6692821,False
6706138,False
6710607,False
6722758,True
6725206,True
